onset	duration	nwb_table	is_vis	is_ruleA	is_switch	is_cueB	is_choL	is_correct	association_mat	rule_belief	signed_bias	rule_following	bias_following	prob_actual_cho	trial_onset_plane_frame_idx	trial_offset_plane_frame_idx	epoch_type	trial_id
31.452	9.314249999999998	epochs															maze	0.0
31.452	8.112749999999995	epochs															maze_stem	0.0
31.48075	16.36275	trials	False	False	False	True	True	False	[0.18162856996059418, 0.8183714151382446, 0.2890854477882385, 0.7109146118164062]	-0.10745684057474136	0.5292860046029091	-0.05372840166091919	0.26464301347732544	0.7109146118164062	[93, 93, 93, 93, 93]	[148, 148, 148, 148, 147]		
39.58175	1.1844999999999999	epochs															maze_arm	0.0
40.785	7.028500000000001	epochs															feedback_and_iti	0.0
40.785	0.9860000000000042	epochs															feedback_delay	0.0
41.7875	1.9882500000000007	epochs															feedback	0.0
43.83325	3.980249999999998	epochs															iti	0.0
47.8435	6.472500000000004	epochs															maze	1.0
47.8435	5.183250000000001	epochs															maze_stem	1.0
47.8715	13.511500000000005	trials	False	False	False	True	True	False	[0.17195649445056915, 0.8280434608459473, 0.22224418818950653, 0.7777557969093323]	-0.050287678837776184	0.6057992875576019	-0.025143831968307495	0.30289962887763977	0.7777557969093323	[192, 191, 191, 191, 191]	[230, 229, 229, 229, 229]		
53.0445	1.2715000000000032	epochs															maze_arm	1.0
54.3385	7.02225	epochs															feedback_and_iti	1.0
54.3385	0.9902499999999961	epochs															feedback_delay	1.0
55.343	1.985999999999997	epochs															feedback	1.0
57.36125	3.9995000000000047	epochs															iti	1.0
61.383	5.318249999999999	epochs															maze	2.0
61.383	3.740249999999996	epochs															maze_stem	2.0
61.401	12.3615	trials	False	False	False	False	False	False	[0.17331883311271667, 0.8266811370849609, 0.21201518177986145, 0.7879847884178162]	-0.038696348667144775	0.6146659553050995	-0.019348174333572388	-0.30733299255371094	0.17331883311271667	[273, 273, 272, 272, 272]	[304, 304, 303, 303, 303]		
65.14525	1.5559999999999974	epochs															maze_arm	2.0
66.7235	7.018249999999995	epochs															feedback_and_iti	2.0
66.7235	1.0037499999999966	epochs															feedback_delay	2.0
67.76375	1.9512500000000017	epochs															feedback	2.0
69.762	3.9797499999999957	epochs															iti	2.0
73.7625	5.522750000000002	epochs															maze	3.0
73.7625	3.9904999999999973	epochs															maze_stem	3.0
73.782	10.779250000000005	trials	False	False	False	False	True	True	[0.22073495388031006, 0.7792650461196899, 0.22637292742729187, 0.7736271023750305]	-0.005637958645820618	0.5528921335935593	0.002818971872329712	0.27644607424736023	0.7792650461196899	[347, 347, 347, 346, 346]	[379, 379, 379, 379, 378]		
77.7715	1.5137500000000017	epochs															maze_arm	3.0
79.30875	5.223500000000001	epochs															feedback_and_iti	3.0
79.30875	0.9877499999999912	epochs															feedback_delay	3.0
80.32125	1.9699999999999989	epochs															feedback	3.0
82.5525	1.97975000000001	epochs															iti	3.0
84.56125	8.782499999999999	epochs															maze	4.0
84.56125	7.524749999999997	epochs															maze_stem	4.0
84.59175	15.807999999999993	trials	False	False	False	True	True	False	[0.18754662573337555, 0.8124533891677856, 0.22105225920677185, 0.7789477109909058]	-0.03350565582513809	0.591401107609272	-0.01675283908843994	0.2957005500793457	0.7789477109909058	[412, 412, 411, 411, 411]	[464, 463, 463, 463, 463]		
92.10725	1.2365000000000066	epochs															maze_arm	4.0
93.3615	7.019999999999996	epochs															feedback_and_iti	4.0
93.3615	0.9912499999999937	epochs															feedback_delay	4.0
94.3715	1.977249999999998	epochs															feedback	4.0
96.38825	3.9932500000000033	epochs															iti	4.0
100.39975	5.886499999999998	epochs															maze	5.0
100.39975	4.249000000000009	epochs															maze_stem	5.0
100.41775	11.097000000000008	trials	False	False	False	True	False	True	[0.2184666246175766, 0.7815333604812622, 0.19388747215270996, 0.8061125874519348]	0.024579189717769623	0.5876459255814552	-0.012289576232433319	-0.2938229516148567	0.19388747215270996	[507, 507, 506, 506, 506]	[541, 541, 541, 541, 540]		
104.66775	1.6184999999999974	epochs															maze_arm	5.0
106.30275	5.1882499999999965	epochs															feedback_and_iti	5.0
106.30275	0.9897500000000008	epochs															feedback_delay	5.0
107.308	1.981749999999991	epochs															feedback	5.0
109.5015	1.9895000000000067	epochs															iti	5.0
111.51475	9.509999999999991	epochs															maze	6.0
111.51475	7.199249999999992	epochs															maze_stem	6.0
111.53425	14.741	trials	False	False	False	True	False	True	[0.38218003511428833, 0.6178199648857117, 0.559273362159729, 0.4407266080379486]	-0.17709334194660187	0.05854658782482147	0.08854666352272034	-0.029273301362991333	0.559273362159729	[573, 573, 573, 573, 573]	[629, 629, 629, 629, 629]		
118.73425	2.2904999999999944	epochs															maze_arm	6.0
121.041	5.210750000000004	epochs															feedback_and_iti	6.0
121.041	0.9900000000000091	epochs															feedback_delay	6.0
122.05075	1.9775000000000063	epochs															feedback	6.0
124.263	1.988749999999996	epochs															iti	6.0
126.27525	11.760250000000013	epochs															maze	7.0
126.27525	8.117750000000001	epochs															maze_stem	7.0
126.29575	16.986500000000007	trials	True	False	False	True	False	True	[0.41479137539863586, 0.5852086544036865, 0.7404457926750183, 0.2595542371273041]	-0.32565441727638245	-0.1552371382713318	0.16282720863819122	0.07761858403682709	0.7404457926750183	[662, 662, 662, 661, 661]	[732, 731, 731, 731, 731]		
134.413	3.6225000000000023	epochs															maze_arm	7.0
138.0585	5.202499999999986	epochs															feedback_and_iti	7.0
138.0585	0.9822499999999934	epochs															feedback_delay	7.0
139.06325	1.9802499999999839	epochs															feedback	7.0
141.28	1.9809999999999945	epochs															iti	7.0
143.28225	9.839499999999987	epochs															maze	8.0
143.28225	8.444500000000005	epochs															maze_stem	8.0
143.308	16.874500000000012	trials	False	False	False	False	False	False	[0.41789475083351135, 0.5821052193641663, 0.8537157773971558, 0.14628417789936066]	-0.435821034014225	-0.2716105654835701	-0.2179105132818222	0.13580526411533356	0.41789475083351135	[764, 764, 764, 763, 763]	[822, 822, 822, 821, 821]		
151.74575	1.3760000000000048	epochs															maze_arm	8.0
153.144	7.01724999999999	epochs															feedback_and_iti	8.0
153.144	0.9975000000000023	epochs															feedback_delay	8.0
154.1685	1.9535000000000196	epochs															feedback	8.0
156.168	3.993249999999989	epochs															iti	8.0
160.1825	6.065499999999986	epochs															maze	9.0
160.1825	4.339499999999987	epochs															maze_stem	9.0
160.199	11.296999999999997	trials	False	False	False	True	False	True	[0.515305757522583, 0.4846942126750946, 0.793749988079071, 0.20624996721744537]	-0.27844423800706863	-0.30905578285455704	0.13922211527824402	0.15452787280082703	0.793749988079071	[865, 865, 865, 865, 864]	[901, 900, 900, 900, 900]		
164.5415	1.706499999999977	epochs															maze_arm	9.0
166.268	5.204499999999996	epochs															feedback_and_iti	9.0
166.268	0.9875000000000114	epochs															feedback_delay	9.0
167.27425	1.9809999999999945	epochs															feedback	9.0
169.47925	1.993249999999989	epochs															iti	9.0
171.496	8.341499999999996	epochs															maze	10.0
171.496	6.87224999999998	epochs															maze_stem	10.0
171.52175	13.586000000000013	trials	False	False	False	True	False	True	[0.5025018453598022, 0.49749818444252014, 0.911870539188385, 0.08812947571277618]	-0.40936870127916336	-0.41437236219644547	0.20468434691429138	0.20718619227409363	0.911870539188385	[933, 933, 933, 933, 932]	[982, 982, 982, 982, 981]		
178.396	1.441500000000019	epochs															maze_arm	10.0
179.861	5.225999999999999	epochs															feedback_and_iti	10.0
179.861	0.9847500000000196	epochs															feedback_delay	10.0
180.862	1.98275000000001	epochs															feedback	10.0
