onset	duration	nwb_table	is_vis	is_ruleA	is_switch	is_cueB	is_choL	is_correct	association_mat	rule_belief	signed_bias	rule_following	bias_following	prob_actual_cho	trial_onset_plane_frame_idx	trial_offset_plane_frame_idx	epoch_type	trial_id
26.38875	9.532499999999999	epochs															maze	0.0
26.38875	7.063499999999998	epochs															maze_stem	0.0
26.422	14.73875	trials	False	True	False	True	True	True	[0.19460741 0.80539256 0.19075014 0.80924988]	0.0038572922348976135	0.6146424487233162	0.0019286572933197021	0.3073212206363678	0.8092498779296875	[93 93 93 92 92]	[149 149 149 149 148]		
33.47175	2.4495000000000005	epochs															maze_arm	0.0
35.93925	5.201250000000002	epochs															feedback_and_iti	0.0
35.93925	0.9975000000000023	epochs															feedback_delay	0.0
36.9525	1.9817499999999981	epochs															feedback	0.0
39.1505	1.990000000000002	epochs															iti	0.0
41.16075	10.944749999999999	epochs															maze	1.0
41.16075	8.567250000000001	epochs															maze_stem	1.0
41.18075	16.124249999999996	trials	False	True	False	True	True	True	[0.18406789 0.81593215 0.16923    0.83077002]	0.014837875962257385	0.6467021405696869	0.007418930530548096	0.32335108518600464	0.8307700157165527	[182 181 181 181 181]	[246 246 246 246 245]		
49.74625	2.359249999999996	epochs															maze_arm	1.0
52.12225	5.1640000000000015	epochs															feedback_and_iti	1.0
52.12225	0.9832499999999982	epochs															feedback_delay	1.0
53.12325	1.997250000000001	epochs															feedback	1.0
55.30175	1.9845000000000041	epochs															iti	1.0
57.305	12.978500000000004	epochs															maze	2.0
57.305	10.983250000000005	epochs															maze_stem	2.0
57.32525	18.1545	trials	False	True	False	True	True	True	[0.17569445 0.82430553 0.15858032 0.8414197 ]	0.017114147543907166	0.6657252311706543	0.00855708122253418	0.33286261558532715	0.8414196968078613	[278 278 278 278 278]	[355 355 355 355 354]		
68.30625	1.977249999999998	epochs															maze_arm	2.0
70.29875	5.161000000000001	epochs															feedback_and_iti	2.0
70.29875	0.9909999999999997	epochs															feedback_delay	2.0
71.30575	1.9779999999999944	epochs															feedback	2.0
73.4725	1.987250000000003	epochs															iti	2.0
75.47975	14.873000000000005	epochs															maze	3.0
75.47975	12.70750000000001	epochs															maze_stem	3.0
75.499	20.066500000000005	trials	False	True	False	True	True	True	[0.16949743 0.83050251 0.15057714 0.84942287]	0.018920324742794037	0.6799254044890404	0.00946018099784851	0.3399626910686493	0.8494228720664978	[387 387 387 387 387]	[476 475 475 475 475]		
88.2055	2.1472499999999997	epochs															maze_arm	3.0
90.37075	5.169250000000005	epochs															feedback_and_iti	3.0
90.37075	0.9867500000000007	epochs															feedback_delay	3.0
91.375	1.9792499999999933	epochs															feedback	3.0
93.54425	1.995750000000001	epochs															iti	3.0
95.5655	10.457750000000004	epochs															maze	4.0
95.5655	8.966250000000002	epochs															maze_stem	4.0
95.59175	15.646249999999995	trials	False	True	False	False	False	True	[0.16414003 0.83585995 0.14405297 0.85594702]	0.020087063312530518	0.6918069869279861	0.010043531656265259	-0.34590350091457367	0.1641400307416916	[508 508 507 507 507]	[570 569 569 569 569]		
104.54975	1.4735000000000014	epochs															maze_arm	4.0
106.042	5.174750000000003	epochs															feedback_and_iti	4.0
106.042	0.9942499999999939	epochs															feedback_delay	4.0
107.0525	1.9877500000000055	epochs															feedback	4.0
109.23325	1.9835000000000065	epochs															iti	4.0
111.238	13.034499999999994	epochs															maze	5.0
111.238	10.997249999999994	epochs															maze_stem	5.0
111.25675	18.230249999999998	trials	False	True	False	True	True	True	[0.59752959 0.40247041 0.29207379 0.70792621]	0.3054558038711548	0.1103966236114502	0.1527279019355774	0.0551983118057251	0.7079262137413025	[602 602 601 601 601]	[679 679 679 678 678]		
122.253	2.0194999999999936	epochs															maze_arm	5.0
124.29	5.176249999999996	epochs															feedback_and_iti	5.0
124.29	0.9912499999999937	epochs															feedback_delay	5.0
125.29725	1.9812499999999886	epochs															feedback	5.0
127.47025	1.9960000000000093	epochs															iti	5.0
129.487	14.602000000000004	epochs															maze	6.0
129.487	11.691249999999997	epochs															maze_stem	6.0
129.50525	19.80125000000001	trials	True	True	False	True	True	True	[0.45792577 0.54207426 0.17963083 0.82036918]	0.2782949283719063	0.3624434247612953	0.13914746046066284	0.18122172355651855	0.8203691840171814	[711 711 711 711 710]	[798 798 797 797 797]		
141.19875	2.890250000000009	epochs															maze_arm	6.0
144.11	5.175249999999977	epochs															feedback_and_iti	6.0
144.11	0.9829999999999757	epochs															feedback_delay	6.0
145.1145	1.9847500000000196	epochs															feedback	6.0
147.293	1.9922499999999843	epochs															iti	6.0
149.3065	11.674000000000007	epochs															maze	7.0
149.3065	10.186000000000007	epochs															maze_stem	7.0
149.32675	16.86224999999999	trials	False	True	False	False	False	True	[0.40319806 0.596802   0.14518316 0.85481679]	0.25801485031843185	0.4516187831759453	0.12900745123624802	-0.22580938786268234	0.4031980633735657	[830 830 830 829 829]	[899 899 899 898 898]		
159.514	1.4664999999999964	epochs															maze_arm	7.0
160.997	5.1699999999999875	epochs															feedback_and_iti	7.0
160.997	0.9882499999999936	epochs															feedback_delay	7.0
162.0025	1.9847499999999911	epochs															feedback	7.0
164.17525	1.9917499999999961	epochs															iti	7.0
166.189	11.79525000000001	epochs															maze	8.0
166.189	9.015500000000003	epochs															maze_stem	8.0
166.20775	16.966250000000002	trials	False	True	False	True	True	True	[0.81434935 0.18565065 0.20464818 0.79535186]	0.6097011938691139	-0.018997512757778168	0.30485060811042786	-0.009498745203018188	0.7953518629074097	[931 931 931 931 930]	[1001 1001 1001 1000 1000]		
175.22525	2.7590000000000146	epochs															maze_arm	8.0
178.0	5.152999999999992	epochs															feedback_and_iti	8.0
178.0	0.9952499999999986	epochs															feedback_delay	8.0
179.01325	1.9730000000000132	epochs															feedback	8.0
181.1635	1.9894999999999925	epochs															iti	8.0
183.174	12.983499999999992	epochs															maze	9.0
183.174	10.426999999999992	epochs															maze_stem	9.0
183.19425	18.1575	trials	False	True	False	True	True	True	[0.70677578 0.29322419 0.15208437 0.84791571]	0.5546914711594582	0.14113987237215042	0.27734576165676117	0.0705699473619461	0.8479157090187073	[1033 1033 1033 1032 1032]	[1110 1110 1110 1109 1109]		
193.621	2.5364999999999895	epochs															maze_arm	9.0
196.17575	5.156750000000017	epochs															feedback_and_iti	9.0
196.17575	0.989750000000015	epochs															feedback_delay	9.0
197.18375	1.978749999999991	epochs															feedback	9.0
199.34025	1.9922500000000127	epochs															iti	9.0
201.35175	11.850499999999982	epochs															maze	10.0
201.35175	10.194499999999977	epochs															maze_stem	10.0
201.37225	17.042	trials	False	True	False	False	False	True	[0.67301327 0.32698673 0.1322248  0.86777526]	0.5407885015010834	0.1947619616985321	0.2703942358493805	-0.09738096594810486	0.6730132699012756	[1142 1142 1142 1141 1141]	[1212 1212 1212 1212 1211]		
211.56675	1.635499999999979	epochs															maze_arm	10.0
213.21975	5.17349999999999	epochs															feedback_and_iti	10.0
213.21975	0.9987500000000011	epochs															feedback_delay	10.0
214.23625	1.9824999999999875	epochs															feedback	10.0
216.4055	1.9877500000000055	epochs															iti	10.0
218.41425	13.770749999999992	epochs															maze	11.0
218.41425	12.021749999999997	epochs															maze_stem	11.0
218.43475	18.951999999999998	trials	False	True	False	False	False	True	[0.88890356 0.11109637 0.14298269 0.85701734]	0.7459209188818932	-0.0318862721323967	0.3729604333639145	0.015943124890327454	0.8889035582542419	[1244 1244 1244 1244 1244]	[1326 1326 1326 1325 1325]		
230.4545	1.7305000000000064	epochs															maze_arm	11.0
232.20075	5.164500000000004	epochs															feedback_and_iti	11.0
232.20075	0.9900000000000091	epochs															feedback_delay	11.0
233.20725	1.9850000000000136	epochs															feedback	11.0
235.37425	1.9910000000000139	epochs															iti	11.0
237.38675	12.945249999999987	epochs															maze	12.0
237.38675	11.207999999999998	epochs															maze_stem	12.0
237.40575	18.14624999999998	trials	False	True	False	True	True	True	[0.90488201 0.09511798 0.14716946 0.85283053]	0.7577125541865826	-0.05205148085951805	0.37885627523064613	-0.026025746017694473	0.8528305292129517	[1358 1358 1358 1357 1357]	[1435 1435 1434 1434 1434]		
248.61575	1.7162500000000023	epochs															maze_arm	12.0
250.3475	5.185249999999996	epochs															feedback_and_iti	12.0
250.3475	0.9910000000000139	epochs															feedback_delay	12.0
251.3545	1.990000000000009	epochs															feedback	12.0
253.538	1.994749999999982	epochs															iti	12.0
255.552	11.074750000000023	epochs															maze	13.0
255.552	9.441000000000003	epochs															maze_stem	13.0
255.572	16.25675000000001	trials	False	True	False	True	True	True	[0.82294297 0.17705706 0.12502095 0.87497908]	0.697922021150589	0.0520361065864563	0.3489610105752945	0.026018068194389343	0.8749790787696838	[1467 1467 1467 1466 1466]	[1532 1532 1532 1532 1532]		
265.0135	1.6132499999999936	epochs															maze_arm	13.0
266.64425	5.164249999999981	epochs															feedback_and_iti	13.0
266.64425	0.9977499999999964	epochs															feedback_delay	13.0
267.65825	1.9777500000000146	epochs															feedback	13.0
